#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume,No. Trades,Open Bid,High Bid,Low Bid,Close Bid,Open Ask,High Ask,Low Ask,Close Ask,Low Ask Yld,Open Bid Size,High Bid Size,Low Bid Size,Close Bid Size,Open Ask Size,High Ask Size,Low Ask Size,Close Ask Size
SETH25,,Market Price,2025-03-10T06:52:00.000000000Z,-5,Intraday 1Min,,,,,,,6.9,6.9,6.9,6.9,,,,,,11,11,11,11,,,,
SETH25,,Market Price,2025-03-10T12:08:00.000000000Z,-5,Intraday 1Min,6.9,6.9,6.9,6.9,11,1,,,,,,,,,,,,,,,,,
SETH25,,Market Price,2025-03-10T12:09:00.000000000Z,-5,Intraday 1Min,,,,,,,6.5,6.5,6.5,6.5,,,,,,11,11,11,11,,,,
SETH25,,Market Price,2025-03-10T12:48:00.000000000Z,-5,Intraday 1Min,,,,,,,6.5,6.5,6.5,6.5,10.55,10.55,10.55,10.55,,11,11,11,11,1,1,1,1
SETH25,,Market Price,2025-03-10T13:09:00.000000000Z,-5,Intraday 1Min,,,,,,,6.5,6.5,6.5,6.5,7.7,7.7,7.7,7.7,,11,11,11,11,1,1,1,1
SETH25,,Market Price,2025-03-10T13:20:00.000000000Z,-5,Intraday 1Min,,,,,,,6.5,6.5,6.5,6.5,7.65,7.65,7.65,7.65,,11,11,11,11,10,10,10,10
SETH25,,Market Price,2025-03-10T13:25:00.000000000Z,-5,Intraday 1Min,,,,,,,6.5,6.5,6.5,6.5,7.6,7.6,7.55,7.55,,11,11,11,11,10,10,10,10
SETH25,,Market Price,2025-03-10T13:30:00.000000000Z,-5,Intraday 1Min,,,,,,,6.6,6.6,6.6,6.6,7.55,7.55,7.1,7.1,,5,5,5,5,10,20,1,10
SETH25,,Market Price,2025-03-10T13:31:00.000000000Z,-5,Intraday 1Min,,,,,,,6.6,6.6,6.6,6.6,7.1,7.1,6.95,6.95,,5,5,5,5,20,20,5,10
SETH25,,Market Price,2025-03-10T13:32:00.000000000Z,-5,Intraday 1Min,,,,,,,6.6,6.6,6.55,6.55,6.9,6.95,6.9,6.9,,5,5,5,5,10,10,10,10
SETH25,,Market Price,2025-03-10T13:33:00.000000000Z,-5,Intraday 1Min,,,,,,,6.55,6.55,6.55,6.55,6.85,6.85,6.85,6.85,,5,5,5,5,25,25,25,25
SETH25,,Market Price,2025-03-10T13:35:00.000000000Z,-5,Intraday 1Min,6.85,6.85,6.7,6.7,6,2,6.55,6.55,6.55,6.55,6.85,6.85,6.7,6.7,,5,5,5,5,20,250,20,24
SETH25,,Market Price,2025-03-10T13:37:00.000000000Z,-5,Intraday 1Min,,,,,,,6.55,6.55,6.55,6.55,6.7,6.7,6.7,6.7,,5,5,5,5,29,29,29,29
SETH25,,Market Price,2025-03-10T13:39:00.000000000Z,-5,Intraday 1Min,6.7,6.7,6.7,6.7,4,1,6.55,6.55,6.55,6.55,6.7,6.7,6.7,6.7,,5,5,5,5,25,25,25,25
SETH25,,Market Price,2025-03-10T13:40:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.65,6.65,6,2,6.55,6.55,6.55,6.55,6.65,6.65,6.65,6.65,,5,73,5,73,250,2749,1,1
SETH25,,Market Price,2025-03-10T13:41:00.000000000Z,-5,Intraday 1Min,,,,,,,6.55,6.55,6.55,6.55,6.65,6.65,6.65,6.65,,73,173,73,173,26,26,26,26
SETH25,,Market Price,2025-03-10T13:42:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.65,6.65,3,1,6.55,6.55,6.55,6.55,6.65,6.65,6.65,6.65,,173,173,173,173,23,2534,23,2534
SETH25,,Market Price,2025-03-10T13:43:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.65,6.65,10,2,6.55,6.55,6.55,6.55,6.65,6.65,6.65,6.65,,173,173,173,173,32,32,22,22
SETH25,,Market Price,2025-03-10T13:44:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.65,6.65,23,8,6.55,6.6,6.55,6.6,6.65,6.65,6.65,6.65,,173,173,10,10,47,47,24,35
SETH25,,Market Price,2025-03-10T13:45:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.65,6.65,26,13,6.6,6.6,6.6,6.6,6.65,6.65,6.65,6.65,,10,10,10,10,33,33,9,9
SETH25,,Market Price,2025-03-10T13:46:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.65,6.65,7,3,6.6,6.6,6.6,6.6,6.65,6.65,6.65,6.65,,10,10,10,10,8,8,2,2
SETH25,,Market Price,2025-03-10T13:47:00.000000000Z,-5,Intraday 1Min,,,,,,,6.6,6.6,6.6,6.6,6.65,6.65,6.65,6.65,,10,13,10,13,27,27,2,2
SETH25,,Market Price,2025-03-10T13:48:00.000000000Z,-5,Intraday 1Min,6.65,6.7,6.65,6.65,207,15,6.6,6.65,6.6,6.6,6.7,6.7,6.65,6.65,,13,119,3,119,2767,2768,210,216
SETH25,,Market Price,2025-03-10T13:49:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.65,6.65,48,16,6.6,6.65,6.6,6.65,6.65,6.7,6.65,6.7,,119,119,37,37,215,215,9,9
SETH25,,Market Price,2025-03-10T13:50:00.000000000Z,-5,Intraday 1Min,6.65,6.7,6.65,6.7,48,7,6.65,6.65,6.6,6.6,6.7,6.7,6.7,6.7,,37,129,37,119,18,268,18,257
SETH25,,Market Price,2025-03-10T13:51:00.000000000Z,-5,Intraday 1Min,6.7,6.7,6.6,6.65,227,6,6.6,6.65,6.55,6.55,6.7,6.7,6.65,6.65,,119,584,100,474,256,259,5,254
SETH25,,Market Price,2025-03-10T13:52:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.55,6.65,14,8,6.55,6.55,6.55,6.55,6.65,6.65,6.65,6.65,,474,474,405,405,253,253,241,241
SETH25,,Market Price,2025-03-10T13:53:00.000000000Z,-5,Intraday 1Min,6.6,6.6,6.55,6.6,52,7,6.6,6.6,6.55,6.55,6.65,6.65,6.65,6.65,,10,405,10,403,241,241,241,241
SETH25,,Market Price,2025-03-10T13:54:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.55,6.65,687,18,6.55,6.55,6.5,6.55,6.65,6.65,6.55,6.65,,403,427,10,10,240,2697,16,211
SETH25,,Market Price,2025-03-10T13:55:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.65,6.65,37,19,6.55,6.55,6.55,6.55,6.65,6.65,6.65,6.65,,10,246,10,246,209,209,15,15
SETH25,,Market Price,2025-03-10T13:56:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.65,6.65,18,11,6.55,6.6,6.55,6.6,6.65,6.65,6.65,6.65,,246,496,100,100,14,214,14,210
SETH25,,Market Price,2025-03-10T13:57:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.65,6.65,30,10,6.6,6.6,6.6,6.6,6.65,6.65,6.65,6.65,,100,100,100,100,209,209,180,180
SETH25,,Market Price,2025-03-10T13:58:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.65,6.65,19,6,6.6,6.6,6.6,6.6,6.65,6.65,6.65,6.65,,100,133,100,133,179,179,161,161
SETH25,,Market Price,2025-03-10T13:59:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.65,6.65,162,5,6.6,6.65,6.6,6.6,6.65,6.7,6.65,6.7,,133,133,1,33,160,479,154,469
SETH25,,Market Price,2025-03-10T14:00:00.000000000Z,-5,Intraday 1Min,6.7,6.7,6.65,6.65,172,39,6.6,6.65,6.6,6.6,6.7,6.7,6.65,6.65,,33,235,1,235,467,944,40,40
SETH25,,Market Price,2025-03-10T14:01:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.6,6.6,246,9,6.6,6.6,6.55,6.6,6.65,6.65,6.65,6.65,,235,246,25,25,39,281,31,279
SETH25,,Market Price,2025-03-10T14:02:00.000000000Z,-5,Intraday 1Min,6.6,6.65,6.6,6.65,86,10,6.55,6.6,6.55,6.6,6.65,6.65,6.65,6.65,,146,163,10,35,279,459,197,197
SETH25,,Market Price,2025-03-10T14:03:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.6,6.6,172,34,6.6,6.6,6.55,6.55,6.65,6.65,6.65,6.65,,35,163,10,163,196,526,177,508
SETH25,,Market Price,2025-03-10T14:04:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.6,6.65,197,51,6.55,6.6,6.55,6.55,6.65,6.65,6.65,6.65,,163,280,100,190,507,507,431,431
SETH25,,Market Price,2025-03-10T14:05:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.65,6.65,53,24,6.55,6.6,6.55,6.6,6.65,6.65,6.65,6.65,,190,290,100,133,426,431,383,383
SETH25,,Market Price,2025-03-10T14:06:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.65,6.65,127,15,6.6,6.6,6.6,6.6,6.65,6.65,6.65,6.65,,133,233,133,233,382,382,251,262
SETH25,,Market Price,2025-03-10T14:07:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.65,6.65,123,9,6.6,6.6,6.6,6.6,6.65,6.65,6.65,6.65,,233,233,233,233,261,261,149,234
SETH25,,Market Price,2025-03-10T14:08:00.000000000Z,-5,Intraday 1Min,6.6,6.65,6.6,6.65,392,15,6.55,6.6,6.55,6.6,6.65,6.65,6.65,6.65,,290,290,1,125,234,397,233,397
SETH25,,Market Price,2025-03-10T14:09:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.6,6.65,175,19,6.6,6.6,6.6,6.6,6.65,6.65,6.65,6.65,,125,129,19,129,393,393,361,361
SETH25,,Market Price,2025-03-10T14:10:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.6,6.65,355,33,6.6,6.6,6.55,6.55,6.65,6.65,6.6,6.65,,129,280,16,280,357,548,2,548
SETH25,,Market Price,2025-03-10T14:11:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.6,6.65,110,7,6.55,6.6,6.55,6.55,6.65,6.65,6.65,6.65,,280,497,100,497,547,547,538,538
SETH25,,Market Price,2025-03-10T14:12:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.6,6.65,123,18,6.55,6.6,6.55,6.55,6.65,6.65,6.65,6.65,,497,497,100,496,537,552,532,535
SETH25,,Market Price,2025-03-10T14:13:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.6,6.6,257,15,6.55,6.6,6.55,6.6,6.65,6.65,6.65,6.65,,496,501,26,27,534,534,510,510
SETH25,,Market Price,2025-03-10T14:14:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.65,6.65,15,8,6.6,6.6,6.6,6.6,6.65,6.65,6.65,6.65,,27,77,27,77,505,505,495,495
SETH25,,Market Price,2025-03-10T14:15:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.6,6.65,110,16,6.6,6.6,6.55,6.6,6.65,6.65,6.65,6.65,,77,501,28,31,494,494,462,462
SETH25,,Market Price,2025-03-10T14:16:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.6,6.6,207,11,6.6,6.6,6.55,6.55,6.65,6.65,6.6,6.65,,31,501,24,501,460,460,400,456
SETH25,,Market Price,2025-03-10T14:17:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.65,6.65,25,12,6.55,6.6,6.55,6.6,6.65,6.65,6.65,6.65,,501,501,100,101,454,454,436,436
SETH25,,Market Price,2025-03-10T14:18:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.65,6.65,1,1,6.6,6.6,6.6,6.6,6.65,6.65,6.65,6.65,,101,101,101,101,435,435,198,198
SETH25,,Market Price,2025-03-10T14:19:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.65,6.65,34,18,6.6,6.6,6.6,6.6,6.65,6.65,6.65,6.65,,101,101,101,101,197,197,164,164
SETH25,,Market Price,2025-03-10T14:20:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.65,6.65,121,14,6.6,6.6,6.6,6.6,6.65,6.65,6.65,6.65,,101,101,101,101,160,160,53,53
SETH25,,Market Price,2025-03-10T14:21:00.000000000Z,-5,Intraday 1Min,6.6,6.65,6.6,6.65,127,9,6.6,6.6,6.55,6.6,6.65,6.65,6.65,6.65,,101,512,11,153,303,631,303,617
SETH25,,Market Price,2025-03-10T14:22:00.000000000Z,-5,Intraday 1Min,6.6,6.65,6.6,6.6,192,5,6.55,6.6,6.55,6.55,6.65,6.65,6.65,6.65,,512,512,35,512,617,617,613,613
SETH25,,Market Price,2025-03-10T14:23:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.65,6.65,26,10,6.55,6.6,6.55,6.6,6.65,6.65,6.65,6.65,,512,612,5,52,610,610,337,357
SETH25,,Market Price,2025-03-10T14:24:00.000000000Z,-5,Intraday 1Min,6.65,6.65,6.6,6.6,197,11,6.6,6.6,6.55,6.55,6.65,6.65,6.6,6.6,,52,595,18,561,362,601,8,142
SETH25,,Market Price,2025-03-10T14:25:00.000000000Z,-5,Intraday 1Min,6.6,6.6,6.6,6.6,148,19,6.55,6.55,6.55,6.55,6.6,6.6,6.6,6.6,,561,611,561,610,42,201,41,154
SETH25,,Market Price,2025-03-10T14:26:00.000000000Z,-5,Intraday 1Min,6.6,6.6,6.55,6.6,483,7,6.55,6.55,6.55,6.55,6.6,6.6,6.6,6.6,,610,610,236,237,149,237,49,234
