#RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume,No. Trades,Open Bid,High Bid,Low Bid,Close Bid,Open Ask,High Ask,Low Ask,Close Ask,Low Ask Yld,Open Bid Size,High Bid Size,Low Bid Size,Close Bid Size,Open Ask Size,High Ask Size,Low Ask Size,Close Ask Size
ESH25,Market Price,2025-03-10T00:00:00.000000000Z,-5,Intraday 1Min,5733.5,5735,5730.25,5734,1635,952,5733.25,5735,5730,5733.75,5733.5,5735.25,5730.25,5734,,8,19,1,6,8,44,1,4
ESH25,Market Price,2025-03-10T00:01:00.000000000Z,-5,Intraday 1Min,5734,5734.75,5731,5731.25,451,280,5733.75,5734.75,5730.75,5731,5734,5735,5731,5731.5,,6,17,1,10,3,25,1,7
ESH25,Market Price,2025-03-10T00:02:00.000000000Z,-5,Intraday 1Min,5731,5731.25,5729.5,5730,452,264,5731,5731.25,5729.25,5730,5731.5,5731.5,5729.5,5730.25,,10,20,1,8,8,19,1,3
ESH25,Market Price,2025-03-10T00:03:00.000000000Z,-5,Intraday 1Min,5730.25,5732,5729.75,5731.75,340,186,5730,5732,5729.5,5731.75,5730.25,5732.25,5729.75,5732,,9,22,1,4,3,48,1,9
ESH25,Market Price,2025-03-10T00:04:00.000000000Z,-5,Intraday 1Min,5732,5736.5,5731.75,5736,707,303,5731.75,5736.5,5731.5,5735.75,5732,5736.75,5731.75,5736,,4,96,1,8,7,28,1,2
ESH25,Market Price,2025-03-10T00:05:00.000000000Z,-5,Intraday 1Min,5736,5739.75,5735.25,5739.5,1152,509,5735.75,5739.75,5735,5739.5,5736,5740,5735.25,5739.75,,8,59,1,1,4,44,1,7
ESH25,Market Price,2025-03-10T00:06:00.000000000Z,-5,Intraday 1Min,5739.5,5739.75,5736,5736.25,555,265,5739.25,5739.5,5736,5736.25,5739.75,5739.75,5736.25,5736.5,,8,33,1,3,7,20,1,9
ESH25,Market Price,2025-03-10T00:07:00.000000000Z,-5,Intraday 1Min,5736.25,5738,5736,5737.25,255,132,5736.25,5737.75,5736,5737.25,5736.5,5738,5736.25,5737.5,,2,17,1,6,9,22,1,6
ESH25,Market Price,2025-03-10T00:08:00.000000000Z,-5,Intraday 1Min,5737,5737.75,5736.25,5736.5,241,114,5737.25,5737.75,5736,5736.25,5737.5,5738,5736.25,5736.75,,4,16,1,10,6,23,1,10
ESH25,Market Price,2025-03-10T00:09:00.000000000Z,-5,Intraday 1Min,5736.5,5738.25,5735.25,5738,267,145,5736.25,5738,5735.25,5737.75,5736.5,5738.25,5735.5,5738,,10,38,1,7,1,16,1,2
ESH25,Market Price,2025-03-10T00:10:00.000000000Z,-5,Intraday 1Min,5738,5738.25,5737,5737,137,84,5737.75,5738,5736.75,5736.75,5738,5738.25,5737,5737,,8,14,1,6,2,18,1,6
ESH25,Market Price,2025-03-10T00:11:00.000000000Z,-5,Intraday 1Min,5736.75,5737.5,5735.75,5736.75,214,114,5736.75,5737.5,5735.5,5736.75,5737,5737.75,5735.75,5737,,5,15,1,3,6,19,1,8
ESH25,Market Price,2025-03-10T00:12:00.000000000Z,-5,Intraday 1Min,5736.75,5739.25,5736.75,5738.5,205,97,5736.5,5739,5736.5,5738.25,5737,5739.25,5736.75,5738.75,,11,18,1,9,8,24,1,12
ESH25,Market Price,2025-03-10T00:13:00.000000000Z,-5,Intraday 1Min,5738.5,5738.75,5737.5,5738,286,134,5738.25,5738.75,5737.25,5738,5738.75,5739,5737.5,5738.25,,10,35,1,3,12,21,1,7
ESH25,Market Price,2025-03-10T00:14:00.000000000Z,-5,Intraday 1Min,5738,5738.25,5735.25,5735.5,254,143,5738,5738.25,5735.25,5735.5,5738.25,5738.5,5735.5,5735.75,,1,26,1,2,7,19,1,10
ESH25,Market Price,2025-03-10T00:15:00.000000000Z,-5,Intraday 1Min,5735.25,5735.5,5729,5729.25,1834,722,5735.5,5735.5,5729,5729,5735.75,5735.75,5729.25,5729.25,,3,28,1,15,10,217,1,5
ESH25,Market Price,2025-03-10T00:16:00.000000000Z,-5,Intraday 1Min,5729,5731.75,5728,5731.75,639,334,5729,5731.5,5728,5731.5,5729.25,5731.75,5728.25,5731.75,,14,31,1,3,5,42,1,11
