#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Bid Price,Bid Size,Ask Price,Ask Size,Exch Time
SDIH25,,Market Price,2025-03-10T11:37:54.631797385Z,-5,Quote,,,20.34,60,11:37:54.624289297
SDIH25,,Market Price,2025-03-10T12:19:46.531512973Z,-5,Quote,20.2,50,20.34,60,12:19:46.524219947
SDIH25,,Market Price,2025-03-10T13:08:23.831600860Z,-5,Quote,20.2,50,20.34,59,13:08:23.823442537
SDIH25,,Market Price,2025-03-10T13:12:49.717275931Z,-5,Quote,20.25,50,20.34,59,13:12:49.708386723
SDIH25,,Market Price,2025-03-10T14:06:08.832158384Z,-5,Quote,20.25,50,20.34,109,14:06:08.823533617
SDIH25,,Market Price,2025-03-10T14:06:13.382186610Z,-5,Quote,20.26,10,20.34,109,14:06:13.376102959
SDIH25,,Market Price,2025-03-10T14:15:51.497244961Z,-5,Quote,20.26,10,20.32,10,14:15:51.491725559
SDIH25,,Market Price,2025-03-10T14:24:32.482155562Z,-5,Quote,20.25,50,20.32,10,14:24:32.474330149
SDIH25,,Market Price,2025-03-10T14:24:33.001867395Z,-5,Quote,20.26,50,20.32,10,14:24:32.993806925
SDIH25,,Market Price,2025-03-10T14:24:43.276793369Z,-5,Quote,20.26,50,20.32,60,14:24:43.272101451
SDIH25,,Market Price,2025-03-10T15:33:48.611831491Z,-5,Quote,20.26,50,20.3,10,15:33:48.606225331
SDIH25,,Market Price,2025-03-10T21:00:00.216769523Z,-5,Quote,,,20.34,9,21:00:00.068015041
SDIH25,,Market Price,2025-03-11T11:34:48.887421574Z,-5,Quote,,,20.34,59,11:34:48.878418777
SDIH25,,Market Price,2025-03-11T11:34:52.612047689Z,-5,Quote,20.25,50,20.34,59,11:34:52.603509429
SDIH25,,Market Price,2025-03-11T12:35:53.526626916Z,-5,Quote,20.25,50,20.32,10,12:35:53.520387285
SDIH25,,Market Price,2025-03-11T12:36:29.476405095Z,-5,Quote,20.25,50,20.33,10,12:36:29.471478639
SDIH25,,Market Price,2025-03-11T12:53:29.172309077Z,-5,Quote,20.25,100,20.33,10,12:53:29.163105165
SDIH25,,Market Price,2025-03-11T16:04:42.587241116Z,-5,Quote,20.3,10,20.33,10,16:04:42.580291547
SDIH25,,Market Price,2025-03-11T16:09:03.682020636Z,-5,Quote,20.3,10,20.31,10,16:09:03.676227275
SDIH25,,Market Price,2025-03-11T16:18:02.167112041Z,-5,Quote,20.28,10,20.31,10,16:18:02.157464377
SDIH25,,Market Price,2025-03-11T16:31:13.641526324Z,-5,Quote,20.26,10,20.31,10,16:31:13.633898569
SDIH25,,Market Price,2025-03-11T16:46:13.866579911Z,-5,Quote,20.26,10,20.3,10,16:46:13.858083229
SDIH25,,Market Price,2025-03-11T16:46:51.236499070Z,-5,Quote,20.26,10,20.31,10,16:46:51.231176935
SDIH25,,Market Price,2025-03-11T21:00:00.207141190Z,-5,Quote,,,20.34,9,21:00:00.068015013
SDIH25,,Market Price,2025-03-12T11:37:14.196440965Z,-5,Quote,,,20.34,59,11:37:14.188002847
SDIH25,,Market Price,2025-03-12T11:37:14.721367253Z,-5,Quote,,,20.34,109,11:37:14.715661137
SDIH25,,Market Price,2025-03-12T12:28:09.442030602Z,-5,Quote,,,20.34,108,12:28:09.433600471
SDIH25,,Market Price,2025-03-12T12:59:12.517165741Z,-5,Quote,20.25,50,20.34,108,12:59:12.506810847
SDIH25,,Market Price,2025-03-12T13:40:04.556836111Z,-5,Quote,20.25,50,20.34,133,13:40:04.548733543
SDIH25,,Market Price,2025-03-12T16:39:58.942133942Z,-5,Quote,20.26,18,20.34,133,16:39:58.936133063
SDIH25,,Market Price,2025-03-12T17:04:14.136840332Z,-5,Quote,20.26,18,20.33,100,17:04:14.129769555
SDIH25,,Market Price,2025-03-12T19:22:35.261261756Z,-5,Quote,20.26,18,20.32,18,19:22:35.248632339
SDIH25,,Market Price,2025-03-12T19:22:45.762167505Z,-5,Quote,20.26,18,20.33,100,19:22:45.752785133
SDIH25,,Market Price,2025-03-12T19:22:49.342453217Z,-5,Quote,20.26,18,20.32,1,19:22:49.333691187
SDIH25,,Market Price,2025-03-12T21:00:00.226436769Z,-5,Quote,,,20.34,8,21:00:00.068014729
SDIH25,,Market Price,2025-03-13T11:35:27.796654919Z,-5,Quote,,,20.33,100,11:35:27.788327479
SDIH25,,Market Price,2025-03-13T11:35:31.722424853Z,-5,Quote,20.25,100,20.33,100,11:35:31.715748347
SDIH25,,Market Price,2025-03-13T13:00:58.426591424Z,-5,Quote,20.25,150,20.33,100,13:00:58.418220367
SDIH25,,Market Price,2025-03-13T13:46:21.471660557Z,-5,Quote,20.25,150,20.33,125,13:46:21.462513613
SDIH25,,Market Price,2025-03-13T17:03:32.211277462Z,-5,Quote,20.25,100,20.33,125,17:03:32.204267917
SDIH25,,Market Price,2025-03-13T17:08:16.576960645Z,-5,Quote,20.25,150,20.33,125,17:08:16.569431025
SDIH25,,Market Price,2025-03-13T20:15:00.856667420Z,-5,Quote,20.25,100,20.33,125,20:15:00.849173209
SDIH25,,Market Price,2025-03-13T20:15:24.516604025Z,-5,Quote,20.25,100,20.33,100,20:15:24.508136681
SDIH25,,Market Price,2025-03-13T21:00:00.212146778Z,-5,Quote,,,20.34,8,21:00:00.068014375
SDIH25,,Market Price,2025-03-14T11:44:34.781749269Z,-5,Quote,,,20.33,100,11:44:34.773878401
SDIH25,,Market Price,2025-03-14T11:51:34.727270235Z,-5,Quote,20.25,100,20.33,100,11:51:34.718383707
SDIH25,,Market Price,2025-03-14T12:53:14.501397452Z,-5,Quote,20.25,150,20.33,100,12:53:14.496543497
SDIH25,,Market Price,2025-03-14T13:35:18.351758860Z,-5,Quote,20.25,150,20.33,125,13:35:18.343425667
SDIH25,,Market Price,2025-03-14T14:00:00.056499793Z,-5,Quote,20.25,150,20.33,100,14:00:00.014608738
SDIH25,,Market Price,2025-03-14T14:01:18.816831190Z,-5,Quote,20.25,150,20.33,125,14:01:18.810619451
SDIH25,,Market Price,2025-03-14T15:12:36.891879188Z,-5,Quote,20.25,150,20.32,100,15:12:36.883759565
SDIH25,,Market Price,2025-03-14T15:32:48.836728253Z,-5,Quote,20.25,150,20.33,125,15:32:48.831077627
SDIH25,,Market Price,2025-03-14T19:57:40.592332583Z,-5,Quote,20.25,100,20.33,125,19:57:40.586753745
SDIH25,,Market Price,2025-03-14T20:15:35.706319809Z,-5,Quote,20.25,100,20.33,100,20:15:35.699279707
SDIH25,,Market Price,2025-03-14T21:00:00.207222467Z,-5,Quote,,,20.34,8,21:00:00.068015857
