#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume,No. Trades,Open Bid,High Bid,Low Bid,Close Bid,Open Ask,High Ask,Low Ask,Close Ask,Low Ask Yld,Open Bid Size,High Bid Size,Low Bid Size,Close Bid Size,Open Ask Size,High Ask Size,Low Ask Size,Close Ask Size
SDIH25,,Market Price,2025-03-10T11:37:00.000000000Z,-5,Intraday 1Min,,,,,,,,,,,20.34,20.34,20.34,20.34,,,,,,60,60,60,60
SDIH25,,Market Price,2025-03-10T12:19:00.000000000Z,-5,Intraday 1Min,,,,,,,20.2,20.2,20.2,20.2,20.34,20.34,20.34,20.34,,50,50,50,50,60,60,60,60
SDIH25,,Market Price,2025-03-10T13:08:00.000000000Z,-5,Intraday 1Min,20.34,20.34,20.34,20.34,1,1,20.2,20.2,20.2,20.2,20.34,20.34,20.34,20.34,,50,50,50,50,59,59,59,59
SDIH25,,Market Price,2025-03-10T13:12:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.25,20.25,20.25,20.34,20.34,20.34,20.34,,50,50,50,50,59,59,59,59
SDIH25,,Market Price,2025-03-10T14:06:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.26,20.25,20.26,20.34,20.34,20.34,20.34,,50,50,10,10,109,109,109,109
SDIH25,,Market Price,2025-03-10T14:15:00.000000000Z,-5,Intraday 1Min,,,,,,,20.26,20.26,20.26,20.26,20.32,20.32,20.32,20.32,,10,10,10,10,10,10,10,10
SDIH25,,Market Price,2025-03-10T14:24:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.26,20.25,20.26,20.32,20.32,20.32,20.32,,50,50,50,50,10,60,10,60
SDIH25,,Market Price,2025-03-10T15:33:00.000000000Z,-5,Intraday 1Min,,,,,,,20.26,20.26,20.26,20.26,20.3,20.3,20.3,20.3,,50,50,50,50,10,10,10,10
SDIH25,,Market Price,2025-03-10T21:00:00.000000000Z,-5,Intraday 1Min,,,,,,,,,,,20.34,20.34,20.34,20.34,,,,,,9,9,9,9
SDIH25,,Market Price,2025-03-11T11:34:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.25,20.25,20.25,20.34,20.34,20.34,20.34,,50,50,50,50,59,59,59,59
SDIH25,,Market Price,2025-03-11T12:35:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.25,20.25,20.25,20.32,20.32,20.32,20.32,,50,50,50,50,10,10,10,10
SDIH25,,Market Price,2025-03-11T12:36:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.25,20.25,20.25,20.33,20.33,20.33,20.33,,50,50,50,50,10,10,10,10
SDIH25,,Market Price,2025-03-11T12:53:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.25,20.25,20.25,20.33,20.33,20.33,20.33,,100,100,100,100,10,10,10,10
SDIH25,,Market Price,2025-03-11T16:04:00.000000000Z,-5,Intraday 1Min,,,,,,,20.3,20.3,20.3,20.3,20.33,20.33,20.33,20.33,,10,10,10,10,10,10,10,10
