Date,SPXDIV Index
1/2/2020,1.6
1/3/2020,1.95
1/6/2020,1.96
1/7/2020,2.28
1/8/2020,2.39
1/9/2020,3.25
1/10/2020,3.26
1/13/2020,3.27
1/14/2020,3.58
1/15/2020,3.64
1/16/2020,3.77
1/17/2020,3.83
1/21/2020,3.9
1/22/2020,4.02
1/23/2020,4.26
1/24/2020,4.35
1/27/2020,4.35
1/28/2020,4.41
1/29/2020,4.49
1/30/2020,4.98
1/31/2020,5.26
2/3/2020,5.3
2/4/2020,5.31
2/5/2020,5.38
2/6/2020,5.94
2/7/2020,6.6
2/10/2020,7.1
2/11/2020,7.23
2/12/2020,7.34
2/13/2020,8.42
2/14/2020,8.97
2/18/2020,9.19
2/19/2020,9.76
2/20/2020,9.92
2/21/2020,10.04
2/24/2020,10.46
2/25/2020,10.53
2/26/2020,10.55
2/27/2020,11.17
2/28/2020,11.65
3/2/2020,11.72
3/3/2020,11.82
3/4/2020,11.98
3/5/2020,12.63
3/6/2020,12.72
3/9/2020,13.03
3/10/2020,13.11
3/11/2020,13.31
3/12/2020,13.85
3/13/2020,14.68
3/16/2020,14.79
3/17/2020,14.87
3/18/2020,14.88
3/19/2020,15.06
3/20/2020,15.46
3/23/2020,0.01
3/24/2020,0.24
3/25/2020,0.25
3/26/2020,0.37
3/27/2020,0.37
3/30/2020,0.8
3/31/2020,1.06
4/1/2020,1.08
4/2/2020,1.49
4/3/2020,1.83
4/6/2020,1.86
4/7/2020,1.89
4/8/2020,2.54
4/9/2020,2.9
4/13/2020,2.96
4/14/2020,3.29
4/15/2020,3.47
4/16/2020,3.49
4/17/2020,3.6
4/20/2020,3.61
4/21/2020,3.67
4/22/2020,3.75
4/23/2020,3.99
4/24/2020,4.05
4/27/2020,4.1
4/28/2020,4.12
4/29/2020,4.22
4/30/2020,4.32
5/1/2020,4.65
5/4/2020,4.66
5/5/2020,4.66
5/6/2020,4.88
5/7/2020,5.89
5/8/2020,6.45
5/11/2020,6.47
5/12/2020,6.96
5/13/2020,7.17
5/14/2020,7.76
5/15/2020,8.07
5/18/2020,8.41
5/19/2020,8.68
5/20/2020,9.22
5/21/2020,9.42
5/22/2020,9.93
5/26/2020,9.98
5/27/2020,10.03
5/28/2020,10.39
5/29/2020,10.87
6/1/2020,11.01
6/2/2020,11.11
6/3/2020,11.42
6/4/2020,12.1
6/5/2020,12.14
6/8/2020,12.2
6/9/2020,12.43
6/10/2020,12.44
6/11/2020,12.81
6/12/2020,13.71
6/15/2020,13.82
6/16/2020,13.87
6/17/2020,13.87
6/18/2020,13.97
6/19/2020,14.56
6/22/2020,0
6/23/2020,0.02
6/24/2020,0.03
6/25/2020,0.19
6/26/2020,0.23
6/29/2020,0.6
6/30/2020,0.85
7/1/2020,0.94
7/2/2020,1.62
7/6/2020,1.64
7/7/2020,1.66
7/8/2020,1.7
7/9/2020,2.6
7/10/2020,2.61
7/13/2020,2.61
7/14/2020,3.03
7/15/2020,3.09
7/16/2020,3.19
7/17/2020,3.36
7/20/2020,3.36
7/21/2020,3.41
7/22/2020,3.49
7/23/2020,3.73
7/24/2020,3.8
7/27/2020,3.82
7/28/2020,3.86
7/29/2020,3.86
7/30/2020,4.37
7/31/2020,4.72
8/3/2020,4.83
8/4/2020,4.83
8/5/2020,4.83
8/6/2020,5.21
8/7/2020,5.9
8/10/2020,5.94
8/11/2020,5.96
8/12/2020,6.46
8/13/2020,7.3
8/14/2020,7.55
8/17/2020,7.63
8/18/2020,8.17
8/19/2020,8.73
8/20/2020,8.84
8/21/2020,9.05
8/24/2020,9.44
8/25/2020,9.48
8/26/2020,9.5
8/27/2020,9.73
8/28/2020,10.08
8/31/2020,10.49
9/1/2020,10.56
9/2/2020,10.92
9/3/2020,11.59
9/4/2020,11.59
9/8/2020,11.74
9/9/2020,11.92
9/10/2020,12.09
9/11/2020,12.25
9/14/2020,13.3
9/15/2020,13.36
9/16/2020,13.48
9/17/2020,13.54
9/18/2020,13.59
9/21/2020,0.17
9/22/2020,0.18
9/23/2020,0.42
9/24/2020,0.58
9/25/2020,0.69
9/28/2020,0.69
9/29/2020,1.11
9/30/2020,1.23
10/1/2020,1.59
10/2/2020,1.6
10/5/2020,1.97
10/6/2020,2.1
10/7/2020,2.17
10/8/2020,3.21
10/9/2020,3.28
10/12/2020,3.28
10/13/2020,3.28
10/14/2020,3.62
10/15/2020,3.72
10/16/2020,3.78
10/19/2020,3.78
10/20/2020,3.85
10/21/2020,3.93
10/22/2020,4.21
10/23/2020,4.28
10/26/2020,4.31
10/27/2020,4.36
10/28/2020,4.36
10/29/2020,4.63
10/30/2020,4.99
11/2/2020,5.03
11/3/2020,5.06
11/4/2020,5.07
11/5/2020,5.72
11/6/2020,6.18
11/9/2020,6.49
11/10/2020,7.08
11/11/2020,7.08
11/12/2020,7.81
11/13/2020,8.14
11/16/2020,8.2
11/17/2020,8.71
11/18/2020,9.37
11/19/2020,9.61
11/20/2020,9.64
11/23/2020,10.05
11/24/2020,10.1
11/25/2020,10.23
11/27/2020,10.59
11/30/2020,11.15
12/1/2020,11.27
12/2/2020,11.62
12/3/2020,12.3
12/4/2020,12.52
12/7/2020,12.52
12/8/2020,12.62
12/9/2020,12.8
12/10/2020,13.07
12/11/2020,13.15
12/14/2020,13.81
12/15/2020,13.86
12/16/2020,13.87
12/17/2020,14.05
12/18/2020,14.32
12/21/2020,0.12
12/22/2020,0.39
12/23/2020,0.45
12/24/2020,0.85
12/28/2020,0.85
12/29/2020,0.85
12/30/2020,1.25
12/31/2020,1.55
1/4/2021,1.75
1/5/2021,2.2
1/6/2021,2.26
1/7/2021,3.07
1/8/2021,3.56
1/11/2021,3.56
1/12/2021,3.56
1/13/2021,3.63
1/14/2021,4.06
1/15/2021,4.12
1/19/2021,4.26
1/20/2021,4.27
1/21/2021,4.59
1/22/2021,4.63
1/25/2021,4.63
1/26/2021,4.65
1/27/2021,4.65
1/28/2021,5.04
1/29/2021,5.53
2/1/2021,5.54
2/2/2021,5.58
2/3/2021,5.58
2/4/2021,5.96
2/5/2021,6.37
2/8/2021,6.46
2/9/2021,7.13
2/10/2021,7.22
2/11/2021,8.02
2/12/2021,8.21
2/16/2021,8.7
2/17/2021,9.34
2/18/2021,9.49
2/19/2021,9.72
2/22/2021,10.04
2/23/2021,10.12
2/24/2021,10.17
2/25/2021,10.72
2/26/2021,11.15
3/1/2021,11.25
3/2/2021,11.27
3/3/2021,11.48
3/4/2021,12.14
3/5/2021,12.3
3/8/2021,12.34
3/9/2021,12.7
3/10/2021,12.91
3/11/2021,13.18
3/12/2021,14.15
3/15/2021,14.33
3/16/2021,14.44
3/17/2021,14.47
3/18/2021,14.66
3/19/2021,15.08
3/22/2021,0.01
3/23/2021,0.03
3/24/2021,0.25
3/25/2021,0.39
3/26/2021,0.42
3/29/2021,0.42
3/30/2021,0.83
3/31/2021,1.15
4/1/2021,1.15
4/5/2021,1.69
4/6/2021,1.88
4/7/2021,1.96
4/8/2021,2.91
4/9/2021,2.95
4/12/2021,3.02
4/13/2021,3.02
4/14/2021,3.52
4/15/2021,3.61
4/16/2021,3.61
4/19/2021,3.61
4/20/2021,3.74
4/21/2021,3.74
4/22/2021,4.08
4/23/2021,4.22
4/26/2021,4.22
4/27/2021,4.25
4/28/2021,4.28
4/29/2021,4.5
4/30/2021,4.84
5/3/2021,4.85
5/4/2021,4.85
5/5/2021,4.88
5/6/2021,5.53
5/7/2021,6.24
5/10/2021,6.33
5/11/2021,6.39
5/12/2021,6.95
5/13/2021,7.65
5/14/2021,7.97
5/17/2021,7.98
5/18/2021,8.49
5/19/2021,9.07
5/20/2021,9.44
5/21/2021,9.61
5/24/2021,10.03
5/25/2021,10.08
5/26/2021,10.14
5/27/2021,10.52
5/28/2021,11.04
6/1/2021,11.17
6/2/2021,11.61
6/3/2021,12.29
6/4/2021,12.33
6/7/2021,12.44
6/8/2021,12.53
6/9/2021,12.69
6/10/2021,12.89
6/11/2021,12.99
6/14/2021,14.05
6/15/2021,14.19
6/16/2021,14.25
6/17/2021,14.37
6/18/2021,14.58
6/21/2021,0.19
